date,message,url
"2017-03-21, 10:00 a.m.",Not Pre-Approved for a Mortgage? You’re Wasting Your Real Estate Agent’s (& Your Own) Time. #RealEstate,https://www.biggerpockets.com/renewsblog/get-preapproved-mortgage
"2017-03-23, 10:00 a.m.","BP Podcast 047: Apartment Complexes, NNN Leases, and Commercial Real Estate with Joel Owens #RealEstate",http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/zKXVamxECx8/
"2017-03-28, 10:00 a.m.",Why Consistency is the Magic Ingredient to Ensure Your Real Estate Business Grows #RealEstate,https://www.biggerpockets.com/renewsblog/consistency-is-magic
"2017-03-30, 10:00 a.m.",4 Self-Sabotaging Excuses Holding You Back From Investing Success #RealEstate,https://www.biggerpockets.com/renewsblog/excuses-sabotage-success
"2017-04-04, 10:00 a.m.",Steve Wynn Cashes in With a $16.5M Sale of His Bel Air Estate #RealEstate,http://www.realtor.com/news/celebrity-real-estate/steve-wynn-sells-bel-air-estate/
"2017-04-06, 10:00 a.m.",9 Red Flags Underwriters Notice When You Apply for an FHA Loan for Your Flip #RealEstate,https://www.biggerpockets.com/renewsblog/fha-flip-red-flags
"2017-04-11, 10:00 a.m.",BP Podcast 205: Snowballing from Single Family Houses to Apartment Complexes with Jered Sturm #RealEstate,http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/G0cE4kHWZac/
"2017-04-13, 10:00 a.m.",10 Entrepreneurs Share Their Most Memorable Mentor-Taught Lessons #RealEstate,https://www.biggerpockets.com/renewsblog/mentor-taught-lessons
"2017-04-18, 10:00 a.m.",6 Inspiring Irish Homes (15 photos) #RealEstate,http://www.houzz.com/ideabooks/82535086/list/6-inspiring-irish-homes/
"2017-04-20, 10:00 a.m.",Not a “Morning Person”? Why That’s Simply a Lie You’re Telling Yourself #RealEstate,https://www.biggerpockets.com/renewsblog/morning-person
"2017-04-25, 10:00 a.m.",BP Podcast 168: Building Hundreds of Homes to Sell or Rent with Cameron Skinner #RealEstate,http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/aVyIa-mDiPE/
"2017-04-27, 10:00 a.m.",3 Negatively Cashflowing “Assets” That Devastate 20-Somethings’ Finances #RealEstate,https://www.biggerpockets.com/renewsblog/2015/03/21/3-negatively-cashflowing-assets-devastate-20-somethings-finances/
"2017-05-02, 10:00 a.m.",BCCC again seeks developer for prime Bard Building site #RealEstate,http://feeds.bizjournals.com/~r/industry_20/~3/bBqYClmT6g4/bccc-again-seeks-developer-forprime-bard-building.html
"2017-05-04, 10:00 a.m.",Airbnb promises to quit clogging up city housing #RealEstate,http://rss.cnn.com/~r/rss/money_realestate/~3/EZRAcJxeYdQ/index.html
"2017-05-09, 10:00 a.m.",Listing Photos: Your Home's First Showing #RealEstate,http://feedproxy.google.com/~r/ZillowBlog/~3/SqGA179YVfE/
"2017-05-11, 10:00 a.m.",BP Podcast 187: Building Wealth Through Older Small Multifamily Properties with Dana Bull #RealEstate,http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/CC0vsfRaszE/
"2017-05-16, 10:00 a.m.",The Holiday Debate: How Much Time Should Investors Take Off This Season? #RealEstate,https://www.biggerpockets.com/renewsblog/holiday-time-off
"2017-05-18, 10:00 a.m.","BP Podcast 048: Duplex Investing, Finding Great Properties, and Tips for Managing Tenants with Darren Sager #RealEstate",http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/fKg5CDwFsJI/
"2017-05-23, 10:00 a.m.",6 Ways to Get Started in Real Estate While You Save Money to Invest #RealEstate,https://www.biggerpockets.com/renewsblog/get-started-while-saving-money
"2017-05-25, 10:00 a.m.","BP Podcast 037: Full Time Income, Part Time Lifestyle Real Estate Investing with Aaron Mazzrillo #RealEstate",http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/h19MOePIjrM/
"2017-05-30, 10:00 a.m.",DIY Weekends That Work #RealEstate,http://feedproxy.google.com/~r/ZillowBlog/~3/SWXQHIsUHhw/
"2017-06-01, 10:00 a.m.",Updated: Scion Group-Led JV Acquires Student Housing Portfolio for $1.6 Billion #RealEstate,http://www.costar.com/News/Article/Updated-Scion-Group-Led-JV-Acquires-Student-Housing-Portfolio-for-$16-Billion/189533?ref=/News/Article/Updated-Scion-Group-Led-JV-Acquires-Student-Housing-Portfolio-for-$16-Billion/189533&src=rss
"2017-06-06, 10:00 a.m.",Live the Silicon Valley Life in This Tech-Savvy $2.63M Home #RealEstate,http://feedproxy.google.com/~r/redfin_corporate/~3/vqavJhYz7s0/live-the-silicon-valley-life-in-this-tech-savvy-2-63m-home.html
"2017-06-08, 10:00 a.m.",Grant Cardone is Right: Owning a Primary Residence Usually ISN’T Smart #RealEstate,https://www.biggerpockets.com/renewsblog/grant-cardone-primary-residence
"2017-06-13, 10:00 a.m.",Kitchen Decisions: Where to Place Your Cabinetry Hardware (15 photos) #RealEstate,http://www.houzz.com/ideabooks/75904843/list/kitchen-decisions-where-to-place-your-cabinetry-hardware/
"2017-06-15, 10:00 a.m.",BP Podcast 150: Designing a Lifestyle-Based Real Estate Business with Luke Swab #RealEstate,http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/q9ZVro6UwKE/
"2017-06-20, 10:00 a.m.",Spend 3 Minutes to Change the Next 30 Years of Your Life #RealEstate,https://www.biggerpockets.com/renewsblog/3-minutes-change-30-years-life/
"2017-06-22, 10:00 a.m.","BP Podcast 149: Early Retirement, Real Estate Bubbles, and Dangerous Scams with Radio/TV Star Clark Howard! #RealEstate",http://feedproxy.google.com/~r/RealEstateNewsForReal/~3/Xaeu3kbVuHA/
"2017-06-27, 10:00 a.m.",The Truth About Turnkey Providers No One Tells You #RealEstate,https://www.biggerpockets.com/renewsblog/truth-turnkey-providers/
"2017-06-29, 10:00 a.m.",9 Steps to Obtain (& Rent Out) a Vacation Income Property in Orlando #RealEstate,https://www.biggerpockets.com/renewsblog/buy-vacation-home-orlando/
